Company Name,Description,Joined,Location,Market,Website,Employee Size,Fund Raised,Tweeter Link
MoveWith,Your Personal Audio Fitness Studio,Sep  14,San Francisco,Fitness,movewith.com,1 to 10,"$4,250,000",http://twitter.com/@teammovewith
Jobsinthemoney,,Jan  15,-,-,-, to ,-,/jobsinthemoney
Wrapify,Empowering drivers through advertising,Feb  15,San Francisco,Advertising Platforms,wrapify.com,11 to 50,"$5,000,000",https://twitter.com/wrapify
RevCascade,Marketplace automation for brands and retailers,Apr  15,New York City,Sales Automation,revcascade.com,1 to 10,-,
Airfox,Bringing financial services to the unbanked in emerging markets,Feb  16,Boston,Blockchains,airfox.com,11 to 50,-,https://twitter.com/_airfox
Terminal 49,Making global trade more efficient and less expensive for businesses.,Mar  16,San Francisco,Logistics,terminal49.com,1 to 10,-,https://twitter.com/terminal_49
Elemeno Health,B2B SaaS virtual coach for frontline healthcare teams,Apr  16,Oakland,Training,elemenohealth.com,1 to 10,"$1,635,000",http://twitter.com/elemenohealth
Akido Labs,Transforming Health Care Data,May  16,Los Angeles,-,akidolabs.com,11 to 50,-,https://twitter.com/akidolabs
OneMove,The smartest way to move long distance,Apr  16,Boulder,Logistics,onemove.net,11 to 50,"$1,250,000",/onemove
dv01,Bringing Transparency to Lending Markets,Apr  16,New York City,Consumer Lending,dv01.co, to ,"$15,000,000",/dv01-1
Comprehend Systems,,Apr  16,-,-,-, to ,"$21,000,000",/comprehend-systems-1
TeamDom,Teen Entertainment And Media,May  16,Los Angeles,Social Media Marketing,teamdom.co,1 to 10,"$1,000,000",
Nautilus Labs,Advancing the efficiency of maritime transportation,Nov  16,New York City,Shipping,nautiluslabs.co,11 to 50,"$2,000,000",https://twitter.com/NautilusLabs1
Focal Systems,Building Computer Vision Algos to solve billion dollar problems for B&M Retail.,May  16,Millbrae,Retail Technology,focal.systems,11 to 50,-,
Solugen (YC W'17),Replacing petroleum-based chemicals with plant-derived alternatives.,Jun  17,Philadelphia,Chemicals,solugentech.com,11 to 50,-,
GovPredict,"Research, analytics, and actionable intelligence for winning public affairs campaigns",May  16,Washington DC,Information Services,govpredict.com,11 to 50,-,
Ring,"Simple, proactive outdoor home security.",May  16,-,-,ring.com, to ,"$93,700,000",
Function of Beauty,Personalized Beauty Products (Shampoo/Conditioner),Jun  16,New York City,Beauty,functionofbeauty.com, to ,"$9,500,000",
Innovein (YC W16),Modern valves for Humans,Jun  16,San Carlos,Medical Devices,InnoVeinMedical.com,1 to 10,-,
Kid Koderz City,Technology Education Summer Camps,Jun  16,Toronto,Technology,kkcity.io,,-,
